fixed_rate,max_loops,fixed_ratio,reserve_pct,n_epochs,total_apr,avg_fixed_apr,avg_var_apr,min_var_apr,max_var_apr,fixed_hit,shortfalls,var_positive,max_ltv,avg_leverage,avg_spread,delev,emerg,reserve_final,tvl_growth,protocol_fees,total_gas,gas_pct_of_yield
0.05,1,0.8,0.05,55,7.369265984449407,4.999999999999997,11.505188368216286,0.0,22.57336670609714,100.0,0,98.18181818181819,0.4596370616969656,1.8072577500000007,2.83255339713977,0,0,34921.6041777045,0.0,77677.41010302595,1882.0126385413535,0.2422857090684644
0.05,1,0.8,0.1,55,7.369265984449407,4.999999999999997,9.86615931534366,0.0,20.33266319524992,100.0,0,98.18181818181819,0.4596370616969656,1.8072577500000007,2.83255339713977,0,0,69474.71494326025,0.0,77677.41010302595,1882.0126385413535,0.2422857090684644
0.05,1,0.9,0.03,55,7.369265984449407,4.999999999999997,19.412509069639768,0.0,41.939296220872066,100.0,0,98.18181818181819,0.4596370616969656,1.8072577500000007,2.83255339713977,0,0,20142.112095985987,0.0,77677.41010302595,1882.0126385413535,0.2422857090684644
0.05,1,0.9,0.05,55,7.369265984449407,4.999999999999997,18.101285827341666,0.0,40.14673341219429,100.0,0,98.18181818181819,0.4596370616969656,1.8072577500000007,2.83255339713977,0,0,33963.35640220828,0.0,77677.41010302595,1882.0126385413535,0.2422857090684644
0.05,1,0.9,0.1,55,7.369265984449407,4.999999999999997,14.86830669107285,0.0,35.66532639049985,100.0,0,92.72727272727272,0.4596370616969656,1.8072577500000007,2.83255339713977,0,0,68041.30212331697,0.0,77677.41010302595,1882.0126385413535,0.2422857090684644
0.05,2,0.5,0.03,55,9.329030599500786,4.999999999999997,11.288487426728373,4.747656008266956,17.443136451585463,100.0,0,100.0,0.6172930797210313,2.4992857124350634,2.83255339713977,0,0,26550.38277393859,0.0,98334.75101458734,1912.8739026859641,0.19452674491464375
0.05,2,0.5,0.05,55,9.329030599500786,4.999999999999997,10.952642325146346,4.546673410158359,16.980391370109473,100.0,0,100.0,0.6172930797210313,2.4992857124350634,2.83255339713977,0,0,44250.637956564315,0.0,98334.75101458734,1912.8739026859641,0.19452674491464375
0.05,2,0.5,0.1,55,9.329030599500786,4.999999999999997,10.113029571191275,4.044216914886865,15.823528666419504,100.0,0,100.0,0.6172930797210313,2.4992857124350634,2.83255339713977,0,0,88501.27591312863,0.0,98334.75101458734,1912.8739026859641,0.19452674491464375
0.05,2,0.7,0.03,55,9.329030599500786,4.999999999999997,15.480812377880623,4.579426680444927,25.738560752642435,100.0,0,100.0,0.6172930797210313,2.4992857124350634,2.83255339713977,0,0,26550.38277393859,0.0,98334.75101458734,1912.8739026859641,0.19452674491464375
0.05,2,0.7,0.05,55,9.329030599500786,4.999999999999997,14.921070541910575,4.244455683597264,24.967318950182456,100.0,0,100.0,0.6172930797210313,2.4992857124350634,2.83255339713977,0,0,44250.637956564315,0.0,98334.75101458734,1912.8739026859641,0.19452674491464375
0.05,2,0.7,0.1,55,9.329030599500786,4.999999999999997,13.521715951985458,3.4070281914781093,23.039214444032506,100.0,0,100.0,0.6172930797210313,2.4992857124350634,2.83255339713977,0,0,88501.27591312863,0.0,98334.75101458734,1912.8739026859641,0.19452674491464375
0.05,2,0.8,0.03,55,9.329030599500786,4.999999999999997,20.721218566820944,4.369140020667393,36.10784112896367,100.0,0,100.0,0.6172930797210313,2.4992857124350634,2.83255339713977,0,0,26550.38277393859,0.0,98334.75101458734,1912.8739026859641,0.19452674491464375
0.05,2,0.8,0.05,55,9.329030599500786,4.999999999999997,19.881605812865875,3.866683525395899,34.950978425273696,100.0,0,100.0,0.6172930797210313,2.4992857124350634,2.83255339713977,0,0,44250.637956564315,0.0,98334.75101458734,1912.8739026859641,0.19452674491464375
0.05,2,0.8,0.1,55,9.329030599500786,4.999999999999997,17.782573927978195,2.610542287217165,32.05882166604877,100.0,0,100.0,0.6172930797210313,2.4992857124350634,2.83255339713977,0,0,88501.27591312863,0.0,98334.75101458734,1912.8739026859641,0.19452674491464375
0.05,2,0.9,0.03,55,9.329030599500786,4.999999999999997,36.44243713364189,3.738280041334787,67.21568225792734,100.0,0,100.0,0.6172930797210313,2.4992857124350634,2.83255339713977,0,0,26550.38277393859,0.0,98334.75101458734,1912.8739026859641,0.19452674491464375
0.05,2,0.9,0.05,55,9.329030599500786,4.999999999999997,34.76321162573174,2.7333670507918013,64.90195685054739,100.0,0,100.0,0.6172930797210313,2.4992857124350634,2.83255339713977,0,0,44250.637956564315,0.0,98334.75101458734,1912.8739026859641,0.19452674491464375
0.05,2,0.9,0.1,55,9.329030599500786,4.999999999999997,30.565147855956386,0.22108457443433227,59.117643332097536,100.0,0,100.0,0.6172930797210313,2.4992857124350634,2.83255339713977,0,0,88501.27591312863,0.0,98334.75101458734,1912.8739026859641,0.19452674491464375
0.05,3,0.5,0.03,55,11.009054003929352,4.999999999999997,14.221808290860647,6.131821480071326,21.77681201603695,100.0,0,100.0,0.6962750312531216,3.09253204644923,2.83255339713977,0,0,31331.72248346217,0.0,116043.41660541548,1943.7351668305748,0.16750068411376517
0.05,3,0.5,0.05,55,11.009054003929352,4.999999999999997,13.825482346719188,5.902299387698722,21.22471279921145,100.0,0,100.0,0.6962750312531216,3.09253204644923,2.83255339713977,0,0,52219.537472436954,0.0,116043.41660541548,1943.7351668305748,0.16750068411376517
0.05,3,0.5,0.1,55,11.009054003929352,4.999999999999997,12.834667486365547,5.328494156767209,19.844464757147684,100.0,0,100.0,0.6962750312531216,3.09253204644923,2.83255339713977,0,0,104439.07494487391,0.0,116043.41660541548,1943.7351668305748,0.16750068411376517
0.05,3,0.7,0.03,55,11.009054003929352,4.999999999999997,20.369680484767745,6.886369133452211,32.96135336006158,100.0,0,100.0,0.6962750312531216,3.09253204644923,2.83255339713977,0,0,31331.72248346217,0.0,116043.41660541548,1943.7351668305748,0.16750068411376517
